iter	Passed	Remaining
415	2456	44782
416	2461	44758
417	2466	44741
418	2471	44720
419	2476	44695
420	2481	44675
421	2486	44657
422	2491	44636
423	2496	44611
424	2502	44597
425	2507	44577
426	2512	44560
427	2518	44547
428	2523	44531
429	2528	44514
430	2534	44502
431	2539	44481
432	2544	44460
433	2550	44467
434	2555	44447
435	2561	44430
436	2566	44419
437	2572	44406
438	2577	44385
439	2583	44396
440	2589	44386
441	2594	44369
442	2600	44362
443	2605	44346
444	2610	44325
445	2616	44319
446	2621	44302
447	2626	44277
448	2633	44290
449	2638	44272
450	2643	44253
451	2649	44245
452	2654	44231
453	2659	44211
454	2665	44203
455	2670	44185
456	2675	44166
457	2682	44172
458	2687	44150
459	2692	44131
460	2697	44117
461	2702	44097
462	2707	44076
463	2712	44062
464	2717	44041
465	2722	44022
466	2728	44007
467	2733	43990
468	2738	43971
469	2743	43957
470	2748	43939
471	2753	43923
472	2759	43906
473	2764	43889
474	2769	43870
475	2774	43854
476	2780	43846
477	2785	43827
478	2790	43809
479	2795	43795
480	2800	43776
481	2805	43761
482	2811	43748
483	2816	43732
484	2821	43711
485	2826	43696
486	2831	43680
487	2836	43660
488	2841	43651
489	2847	43637
490	2852	43617
491	2857	43602
492	2862	43589
493	2867	43572
494	2872	43552
495	2877	43541
496	2882	43521
497	2887	43502
498	2893	43493
499	2898	43479
500	2903	43459
501	2908	43444
502	2913	43427
503	2918	43406
504	2924	43409
505	2929	43389
506	2934	43373
507	2940	43362
508	2945	43344
509	2950	43327
510	2955	43315
511	2960	43303
512	2965	43286
513	2971	43275
514	2976	43257
515	2981	43239
516	2986	43222
517	2991	43211
518	2996	43194
519	3001	43174
520	3006	43162
521	3011	43145
522	3016	43124
523	3021	43110
524	3026	43093
525	3031	43076
526	3036	43061
527	3041	43043
528	3046	43025
529	3051	43008
530	3056	42993
531	3061	42977
532	3066	42957
533	3072	42958
534	3077	42942
535	3082	42924
536	3087	42912
537	3092	42896
538	3097	42880
539	3102	42866
540	3108	42855
541	3113	42839
542	3119	42838
543	3124	42823
544	3129	42806
545	3135	42804
546	3140	42789
547	3145	42770
548	3150	42758
549	3155	42741
550	3160	42726
551	3165	42707
552	3170	42701
553	3176	42692
554	3181	42676
555	3186	42663
556	3191	42647
557	3196	42631
558	3201	42620
559	3206	42606
560	3211	42590
561	3217	42579
562	3222	42566
563	3227	42549
564	3233	42551
565	3238	42536
566	3243	42520
567	3249	42513
568	3254	42497
569	3258	42480
570	3264	42468
571	3269	42457
572	3274	42442
573	3279	42427
574	3285	42424
575	3290	42408
